,true_energy,pred_energy,num_heavy_atoms,molecule_mass
0,-377.4910583496094,-377.5654602050781,8,108.09999999999998
1,-367.1644287109375,-367.2115783691406,9,123.19899999999993
2,-498.46771240234375,-498.5453796386719,9,136.14700000000005
3,-457.7568359375,-457.8002014160156,9,126.11099999999995
4,-450.21368408203125,-450.23870849609375,9,126.11899999999997
5,-327.860595703125,-327.92718505859375,8,109.17199999999994
6,-349.0002136230469,-349.0352783203125,8,112.17199999999993
7,-452.7879333496094,-452.8258056640625,9,124.09899999999999
8,-451.3053894042969,-451.3952941894531,9,128.13499999999996
9,-420.6324462890625,-420.64276123046875,9,122.12299999999995
10,-351.0413818359375,-351.1784973144531,9,122.21099999999991
11,-387.0416564941406,-387.11260986328125,9,124.18299999999992
12,-345.4081726074219,-345.4382629394531,8,106.12399999999997
13,-403.07763671875,-403.1733093261719,9,125.17099999999994
14,-378.7574157714844,-378.7997131347656,8,110.11599999999997
15,-348.9696960449219,-349.0312194824219,8,112.17199999999993
16,-470.01031494140625,-470.0498962402344,9,127.10299999999997
17,-441.5163269042969,-441.5589904785156,9,131.17499999999998
18,-477.4375305175781,-477.4819641113281,9,133.14700000000002
19,-424.2104187011719,-424.2434387207031,9,128.17099999999994
20,-401.8535461425781,-401.8896789550781,9,123.15499999999994
21,-424.2793273925781,-424.3121032714844,9,128.17099999999994
22,-450.5941162109375,-450.66436767578125,8,114.05999999999999
23,-403.16253662109375,-403.17877197265625,9,125.17099999999994
24,-422.98431396484375,-423.0345764160156,9,126.15499999999993
25,-436.9393310546875,-436.9873962402344,8,117.10399999999997
26,-497.92340087890625,-497.91522216796875,9,129.090403163
27,-363.8658752441406,-363.91424560546875,8,111.14399999999995
28,-439.0893859863281,-439.1205749511719,9,127.14299999999994
29,-394.8453674316406,-394.8485412597656,8,111.10399999999997
30,-348.7619323730469,-348.7471008300781,9,118.17899999999993
31,-424.2350158691406,-424.2808837890625,9,128.17099999999994
32,-381.9347229003906,-382.01300048828125,9,122.17099999999994
33,-441.4521789550781,-441.5037841796875,9,131.17499999999998
34,-387.07757568359375,-387.13372802734375,9,124.18299999999992
35,-473.8757019042969,-473.8597412109375,9,127.09899999999996
36,-388.2723693847656,-388.33575439453125,9,126.19899999999991
37,-310.6570129394531,-310.7011413574219,8,106.16799999999994
38,-387.09954833984375,-387.1361999511719,9,124.18299999999992
39,-412.94976806640625,-413.0261535644531,9,122.13099999999996
40,-423.0357360839844,-423.0641174316406,9,126.15499999999993
41,-385.93951416015625,-385.9557800292969,9,122.16699999999993
42,-460.1377258300781,-460.186279296875,9,130.14299999999997
43,-436.666748046875,-436.7005920410156,9,123.11099999999996
44,-455.2042541503906,-455.23785400390625,9,128.13099999999994
45,-401.9281921386719,-401.9604797363281,9,123.15499999999994
46,-425.41400146484375,-425.44427490234375,9,130.18699999999995
47,-458.9595947265625,-459.0208435058594,9,128.12699999999995
48,-470.0290222167969,-470.0401611328125,9,127.10299999999998
49,-400.9634094238281,-401.0409851074219,8,115.13199999999995
50,-380.8275146484375,-380.87652587890625,9,120.15499999999994
51,-434.0749206542969,-434.112548828125,9,125.13099999999996
52,-456.3665771484375,-456.4245910644531,9,130.147
53,-424.1949462890625,-424.26336669921875,9,128.17099999999994
54,-403.1567077636719,-403.2098083496094,9,125.17099999999994
55,-403.03533935546875,-403.144287109375,9,125.17099999999994
56,-350.1983947753906,-350.249267578125,8,114.18799999999992
57,-439.10400390625,-439.1109924316406,9,127.14299999999994
58,-458.9574890136719,-458.9925537109375,9,128.12699999999995
59,-421.782958984375,-421.84295654296875,9,124.13899999999994
60,-403.06298828125,-403.1298828125,9,125.17099999999994
61,-385.8780212402344,-385.91790771484375,9,122.16699999999993
62,-466.1763000488281,-466.2591247558594,9,127.10699999999999
63,-423.0222473144531,-423.0653076171875,9,126.15499999999993
64,-437.8714599609375,-437.91070556640625,9,125.12699999999997
65,-473.8561096191406,-473.881591796875,9,127.09899999999996
66,-365.9653625488281,-366.00421142578125,9,121.18299999999994
67,-389.4903259277344,-389.54595947265625,9,128.21499999999992
68,-455.1529541015625,-455.2239990234375,9,128.13099999999994
69,-348.66241455078125,-348.74468994140625,9,118.17899999999993
70,-423.0144958496094,-423.0530700683594,9,126.15499999999993
71,-341.5257568359375,-341.59857177734375,8,106.12799999999996
72,-358.92034912109375,-358.9505920410156,8,109.13199999999996
73,-475.0001220703125,-475.0433044433594,9,129.11499999999998
74,-368.37042236328125,-368.41290283203125,9,125.2149999999999
75,-403.0869445800781,-403.1397705078125,9,125.17099999999994
76,-384.6107177734375,-384.64495849609375,9,120.15099999999994
77,-436.5635986328125,-436.6678466796875,9,123.11099999999996
78,-425.4407043457031,-425.48236083984375,9,130.18699999999995
79,-418.0811767578125,-418.1044921875,9,124.14299999999996
80,-424.1831970214844,-424.2447204589844,9,128.17099999999994
81,-382.04827880859375,-382.099365234375,9,122.17099999999995
82,-422.9917297363281,-423.0555725097656,9,126.15499999999994
83,-382.1343078613281,-382.1380310058594,9,122.17099999999995
84,-425.40447998046875,-425.4533996582031,9,130.18699999999995
85,-469.994140625,-470.0203857421875,9,127.10299999999998
86,-416.87646484375,-416.8846130371094,9,122.12699999999995
87,-385.81597900390625,-385.8678894042969,9,122.16699999999993
88,-387.0776062011719,-387.1164855957031,9,124.18299999999992
89,-460.16619873046875,-460.21002197265625,9,130.14299999999997
90,-401.9330749511719,-401.9853515625,9,123.15499999999994
91,-436.6418151855469,-436.727783203125,9,123.11099999999996
92,-117.82479858398438,-117.88072967529297,3,42.08100000000002
93,-387.0428466796875,-387.1089782714844,9,124.18299999999992
94,-456.3524475097656,-456.3985900878906,9,130.147
95,-414.1936950683594,-414.269287109375,9,124.14699999999996
96,-477.4713134765625,-477.4960632324219,9,133.14700000000002
97,-403.19183349609375,-403.2046813964844,9,125.17099999999994
98,-455.1963806152344,-455.2566223144531,9,128.13099999999994
99,-388.25848388671875,-388.32269287109375,9,126.19899999999991
100,-417.97540283203125,-418.0174865722656,9,124.14299999999996
101,-403.1532287597656,-403.1702880859375,9,125.17099999999994
102,-388.26812744140625,-388.30645751953125,9,126.19899999999991
103,-417.9619445800781,-418.015625,9,124.14299999999994
104,-387.33160400390625,-387.39013671875,8,118.17599999999992
105,-417.9913635253906,-418.06304931640625,9,124.14299999999994
106,-431.4357604980469,-431.4892272949219,9,127.15099999999997
107,-403.1063537597656,-403.1663818359375,9,125.17099999999994
108,-494.89019775390625,-494.9332275390625,9,130.099
109,-385.8515319824219,-385.8984069824219,9,122.16699999999993
110,-454.02032470703125,-454.0295715332031,9,126.11499999999997
111,-348.97723388671875,-349.0398864746094,8,112.17199999999994
112,-424.18505859375,-424.2395935058594,9,128.17099999999994
113,-399.343994140625,-399.3801574707031,9,125.17499999999994
114,-403.0628662109375,-403.1435546875,9,125.17099999999994
115,-422.98944091796875,-423.0309753417969,9,126.15499999999993
116,-435.3089599609375,-435.33660888671875,9,127.14699999999995
117,-400.7624206542969,-400.7962951660156,9,121.13899999999994
118,-437.8683776855469,-437.93218994140625,9,125.12699999999994
119,-403.061279296875,-403.1617736816406,9,125.17099999999992
120,-401.9045104980469,-401.97113037109375,9,123.15499999999994
121,-461.3667907714844,-461.4052429199219,9,132.159
122,-419.21881103515625,-419.2758483886719,9,126.15899999999996
123,-428.9568176269531,-429.0419921875,9,123.11899999999999
124,-422.978271484375,-423.01873779296875,9,126.15499999999993
125,-460.1617736816406,-460.2015380859375,9,130.14299999999997
126,-458.93292236328125,-459.0063781738281,9,128.12699999999995
