timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz]
2023/04/15 11:51:39.440, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 29.80 W, 43, 0 MHz
2023/04/15 11:51:40.442, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 29.83 W, 43, 0 MHz
2023/04/15 11:51:41.443, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 29.60 W, 43, 0 MHz
2023/04/15 11:51:42.445, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 29.58 W, 43, 0 MHz
2023/04/15 11:51:43.447, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 29.62 W, 43, 0 MHz
2023/04/15 11:51:44.448, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 29.47 W, 43, 0 MHz
2023/04/15 11:51:45.450, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 29.41 W, 43, 0 MHz
2023/04/15 11:51:46.451, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 63.54 W, 49, 1860 MHz
2023/04/15 11:51:47.453, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 121.31 W, 50, 1860 MHz
2023/04/15 11:51:48.454, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 121.92 W, 51, 1860 MHz
2023/04/15 11:51:49.456, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 122.05 W, 51, 1860 MHz
2023/04/15 11:51:50.457, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 122.26 W, 51, 1860 MHz
2023/04/15 11:51:51.459, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 122.08 W, 51, 1860 MHz
2023/04/15 11:51:52.460, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 122.07 W, 52, 1860 MHz
2023/04/15 11:51:53.461, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 122.15 W, 52, 1860 MHz
2023/04/15 11:51:54.463, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 122.26 W, 52, 1860 MHz
2023/04/15 11:51:55.464, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 122.25 W, 52, 1860 MHz
2023/04/15 11:51:56.466, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 122.29 W, 52, 1860 MHz
2023/04/15 11:51:57.467, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 122.24 W, 52, 1860 MHz
2023/04/15 11:51:58.469, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 122.32 W, 52, 1860 MHz
2023/04/15 11:51:59.470, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 122.58 W, 52, 1860 MHz
2023/04/15 11:52:00.472, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 122.69 W, 52, 1860 MHz
2023/04/15 11:52:01.473, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 122.75 W, 52, 1860 MHz
2023/04/15 11:52:02.474, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 122.79 W, 53, 1860 MHz
2023/04/15 11:52:03.476, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 122.94 W, 53, 1860 MHz
2023/04/15 11:52:04.477, 0 %, 0 %, 24576 MiB, 23839 MiB, 428 MiB, 123.11 W, 53, 1860 MHz
2023/04/15 11:52:05.479, 2 %, 0 %, 24576 MiB, 23679 MiB, 588 MiB, 123.23 W, 53, 1860 MHz
2023/04/15 11:52:06.480, 0 %, 0 %, 24576 MiB, 23327 MiB, 940 MiB, 123.93 W, 53, 1860 MHz
2023/04/15 11:52:07.482, 10 %, 4 %, 24576 MiB, 23327 MiB, 940 MiB, 127.45 W, 54, 1860 MHz
2023/04/15 11:52:08.484, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 132.23 W, 53, 1860 MHz
2023/04/15 11:52:09.486, 4 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.72 W, 53, 1860 MHz
2023/04/15 11:52:10.488, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 128.80 W, 53, 1860 MHz
2023/04/15 11:52:11.489, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 128.59 W, 54, 1860 MHz
2023/04/15 11:52:12.491, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.63 W, 54, 1860 MHz
2023/04/15 11:52:13.492, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.86 W, 54, 1860 MHz
2023/04/15 11:52:14.494, 7 %, 3 %, 24576 MiB, 23327 MiB, 940 MiB, 128.79 W, 54, 1860 MHz
2023/04/15 11:52:15.496, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 128.54 W, 54, 1860 MHz
2023/04/15 11:52:16.497, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 129.07 W, 54, 1860 MHz
2023/04/15 11:52:17.499, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 129.03 W, 54, 1860 MHz
2023/04/15 11:52:18.501, 4 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 129.12 W, 54, 1860 MHz
2023/04/15 11:52:19.503, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 129.06 W, 54, 1860 MHz
2023/04/15 11:52:20.505, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 128.90 W, 54, 1860 MHz
2023/04/15 11:52:21.506, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.98 W, 54, 1860 MHz
2023/04/15 11:52:22.508, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.91 W, 54, 1860 MHz
2023/04/15 11:52:23.509, 4 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 129.28 W, 54, 1860 MHz
2023/04/15 11:52:24.511, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 129.58 W, 55, 1860 MHz
2023/04/15 11:52:25.513, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 129.32 W, 55, 1860 MHz
2023/04/15 11:52:26.514, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 129.44 W, 55, 1860 MHz
2023/04/15 11:52:27.516, 4 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 129.65 W, 55, 1860 MHz
2023/04/15 11:52:28.519, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 129.78 W, 55, 1860 MHz
2023/04/15 11:52:29.521, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 129.59 W, 55, 1860 MHz
2023/04/15 11:52:30.522, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 129.68 W, 55, 1860 MHz
2023/04/15 11:52:31.524, 4 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 129.76 W, 55, 1860 MHz
2023/04/15 11:52:32.526, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 129.75 W, 55, 1860 MHz
2023/04/15 11:52:33.527, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 129.31 W, 55, 1860 MHz
2023/04/15 11:52:34.529, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 129.68 W, 55, 1860 MHz
2023/04/15 11:52:35.531, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.30 W, 55, 1860 MHz
2023/04/15 11:52:36.533, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.90 W, 56, 1860 MHz
2023/04/15 11:52:37.535, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.71 W, 56, 1860 MHz
2023/04/15 11:52:38.537, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.91 W, 56, 1860 MHz
