System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
18:39:24.658, 0.000, 0.570, 0.532, 0.124, 0.038, 1234, 1123, 68, 30, 32, 34, 30, 15.987, 16.777, 15.198, 24.000
18:39:25.508, 0.851, 0.048, 0.046, 0.032, 0.002, 1114, 664, 16, 30, 32, 34, 30, 11.374, 14.076, 8.631, 6.000
18:39:26.526, 1.868, 5.904, 5.286, 0.302, 0.070, 1512, 3149, 147, 34, 40, 54, 30, 22.919, 20.097, 25.721, 25.000
18:39:27.478, 2.821, 4.406, 4.174, 0.578, 0.232, 1706, 3060, 413, 34, 40, 54, 30, 39.159, 36.053, 42.257, 56.000
18:39:28.541, 3.884, 6.442, 4.306, 0.682, 0.314, 1909, 3024, 493, 34, 40, 54, 30, 43.442, 43.373, 43.510, 73.000
18:39:29.605, 4.947, 4.562, 4.140, 0.674, 0.280, 1793, 3073, 487, 34, 40, 54, 30, 43.981, 47.113, 40.835, 72.000
18:39:30.579, 5.922, 5.368, 4.160, 0.718, 0.286, 1833, 3036, 501, 34, 38, 43, 30, 44.670, 48.477, 40.863, 71.000
18:39:31.586, 6.928, 6.442, 4.416, 0.738, 0.300, 1847, 3071, 501, 34, 38, 43, 30, 45.674, 49.239, 42.092, 71.000
18:39:32.546, 7.889, 5.636, 4.456, 0.724, 0.290, 1864, 3072, 490, 34, 38, 43, 30, 46.875, 51.629, 42.145, 67.000
18:39:33.567, 8.909, 7.784, 4.732, 0.744, 0.300, 1973, 3065, 499, 34, 38, 43, 30, 51.538, 52.099, 50.980, 71.000
18:39:34.555, 9.897, 5.904, 4.440, 0.736, 0.290, 1853, 3066, 508, 34, 39, 44, 30, 46.701, 47.815, 45.573, 70.000
18:39:35.491, 10.834, 7.246, 4.468, 0.738, 0.262, 1968, 2997, 449, 34, 39, 44, 30, 48.966, 50.646, 47.287, 65.000
18:39:36.529, 11.871, 7.516, 4.540, 0.750, 0.288, 1818, 3076, 507, 34, 39, 44, 33, 48.044, 50.122, 45.966, 69.000
18:39:37.522, 12.865, 6.442, 4.382, 0.722, 0.284, 1858, 3071, 491, 34, 39, 44, 33, 47.323, 50.746, 43.890, 69.000
18:39:38.571, 13.913, 6.442, 4.374, 0.714, 0.300, 1878, 3071, 500, 35, 39, 42, 33, 46.498, 47.087, 45.913, 69.000
18:39:39.526, 14.868, 5.636, 4.324, 0.722, 0.276, 1761, 3074, 476, 35, 39, 42, 32, 46.572, 48.837, 44.301, 68.000
18:39:40.507, 15.849, 4.830, 4.004, 0.698, 0.280, 1774, 2983, 463, 35, 39, 42, 30, 44.459, 45.802, 43.112, 69.000
18:39:41.503, 16.845, 5.636, 4.320, 0.704, 0.278, 1753, 3070, 486, 35, 39, 42, 30, 44.444, 44.140, 44.750, 67.000
18:39:42.530, 17.872, 5.636, 4.132, 0.664, 0.256, 1762, 3025, 448, 33, 39, 42, 30, 43.788, 45.074, 42.506, 63.000
18:39:43.539, 18.881, 5.636, 4.380, 0.674, 0.274, 1753, 3083, 482, 33, 39, 42, 31, 44.005, 44.198, 43.812, 66.000
18:39:44.541, 19.883, 5.636, 4.332, 0.684, 0.298, 1723, 3078, 490, 33, 39, 42, 33, 43.088, 42.145, 44.030, 66.000
18:39:45.516, 20.859, 4.830, 4.296, 0.670, 0.272, 1741, 3084, 469, 33, 39, 42, 33, 42.186, 41.624, 42.748, 62.000
18:39:46.519, 21.861, 6.710, 4.334, 0.704, 0.272, 1812, 2994, 450, 36, 40, 46, 33, 45.000, 45.980, 44.030, 65.000
18:39:47.487, 22.829, 6.442, 4.492, 0.712, 0.268, 1788, 3063, 480, 36, 40, 46, 33, 43.478, 40.967, 46.015, 68.000
18:39:48.530, 23.873, 6.978, 4.570, 0.724, 0.264, 1857, 3069, 474, 36, 40, 46, 30, 44.619, 43.341, 45.894, 65.000
18:39:49.504, 24.846, 6.978, 4.516, 0.760, 0.286, 1832, 3069, 494, 36, 40, 46, 30, 44.216, 41.902, 46.530, 65.000
18:39:50.496, 25.839, 6.978, 4.496, 0.742, 0.270, 1835, 3073, 473, 36, 40, 44, 30, 43.216, 41.457, 44.975, 65.000
18:39:51.515, 26.857, 7.516, 4.538, 0.712, 0.278, 1807, 3071, 469, 36, 40, 44, 30, 42.822, 39.756, 45.874, 65.000
18:39:52.494, 27.836, 6.710, 4.618, 0.768, 0.294, 1813, 3069, 473, 36, 40, 44, 30, 45.220, 44.330, 46.114, 65.000
18:39:53.524, 28.866, 6.442, 4.400, 0.726, 0.276, 1764, 3082, 461, 36, 40, 44, 30, 44.844, 45.564, 44.125, 66.000
18:39:54.500, 29.842, 6.174, 4.332, 0.720, 0.270, 1667, 3086, 471, 35, 39, 43, 30, 45.584, 47.150, 44.010, 65.000
18:39:55.529, 30.872, 6.978, 4.634, 0.742, 0.288, 1819, 3077, 487, 35, 39, 43, 31, 47.368, 51.111, 43.689, 66.000
18:39:56.500, 31.843, 6.174, 4.618, 0.730, 0.284, 1752, 3081, 489, 35, 39, 43, 34, 46.931, 48.855, 44.987, 67.000
18:39:57.525, 32.867, 4.830, 4.094, 0.698, 0.252, 1771, 2986, 425, 35, 39, 43, 34, 44.891, 47.202, 42.579, 63.000
18:39:58.498, 33.840, 6.442, 4.584, 0.750, 0.284, 1818, 3082, 504, 36, 41, 49, 34, 43.603, 42.820, 44.386, 67.000
18:39:59.508, 34.850, 6.442, 4.312, 0.694, 0.288, 1703, 3091, 480, 36, 41, 49, 33, 43.378, 43.066, 43.689, 64.000
18:40:00.516, 35.858, 6.710, 4.552, 0.746, 0.266, 1763, 3084, 480, 36, 41, 49, 32, 46.097, 48.020, 44.169, 66.000
18:40:01.509, 36.852, 6.442, 4.390, 0.716, 0.260, 1774, 3085, 456, 36, 41, 49, 32, 46.903, 51.263, 42.532, 63.000
18:40:02.470, 37.813, 6.710, 4.558, 0.716, 0.264, 1786, 3087, 458, 36, 41, 46, 32, 42.561, 42.228, 42.894, 63.000
